plantCode,plantName,timezone,latitude,longitude,installedDcKw,installedAcKw,externalId,deviceName,manufacturer,deviceType,model,modbusHost,modbusPort,modbusUnitId,isActive
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-CL1-INV-01,Class Room1 Inverter No.1,Huawei,Inverter,SUN2000-100KTL-M1,10.12.7.141,502,9,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-CL1-INV-02,Class Room1 Inverter No.2,Huawei,Inverter,SUN2000-100KTL-M1,10.12.7.141,502,8,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-CL1-INV-03,Class Room1 Inverter No.3,Huawei,Inverter,SUN2000-100KTL-M1,10.12.7.141,502,10,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-CL1-INV-04,Class Room1 Inverter No.4,Huawei,Inverter,SUN2000-100KTL-M1,10.12.7.141,502,11,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-SC-INV-01,Surareang Chai Inverter No.1,Huawei,Inverter,SUN2000-100KTL-M1,10.12.7.142,502,4,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-SC-INV-02,Surareang Chai Inverter No.2,Huawei,Inverter,SUN2000-100KTL-M1,10.12.7.142,502,7,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-SC-INV-03,Surareang Chai Inverter No.3,Huawei,Inverter,SUN2000-100KTL-M1,10.12.7.142,502,6,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-SC-INV-04,Surareang Chai Inverter No.4,Huawei,Inverter,SUN2000-100KTL-M1,10.12.7.142,502,5,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-CP-INV-01,Capark Inverter No.1,Huawei,Inverter,SUN2000-30KTL-M3,10.12.7.141,502,7,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-CP-INV-02,Capark Inverter No.2,Huawei,Inverter,SUN2000-30KTL-M3,10.12.7.141,502,6,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-01,Floating Inverter No.1,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,7,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-02,Floating Inverter No.2,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,15,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-03,Floating Inverter No.3,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,4,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-04,Floating Inverter No.4,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,5,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-05,Floating Inverter No.5,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,9,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-06,Floating Inverter No.6,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,2,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-07,Floating Inverter No.7,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,11,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-08,Floating Inverter No.8,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,10,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-09,Floating Inverter No.9,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,13,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-10,Floating Inverter No.10,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,6,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-11,Floating Inverter No.11,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,3,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-12,Floating Inverter No.12,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,14,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-13,Floating Inverter No.13,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,17,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-14,Floating Inverter No.14,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,8,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-15,Floating Inverter No.15,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,12,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-FT-INV-16,Floating Inverter No.16,Huawei,Inverter,SUN2000-215KTL-H0,10.12.7.140,502,16,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-F12-INV-01,F12 Inverter No.1,Huawei,Inverter,SUN2000-100KTL-M1,10.12.7.141,502,1,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-F12-INV-02,F12 Inverter No.2,Huawei,Inverter,SUN2000-100KTL-M1,10.12.7.141,502,2,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-F12-INV-03,F12 Inverter No.3,Huawei,Inverter,SUN2000-100KTL-M1,10.12.7.141,502,3,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-F10-INV-01,F10 Inverter No.3,Huawei,Inverter,SUN2000-100KTL-M1,10.12.7.141,502,4,TRUE
SUT,SUT,Asia/Bangkok,14.88156834,102.0181317,,,SUT-SV5-INV-01,Suranivet5 Inverter,Huawei,Inverter,SUN2000-100KTL-M1,10.12.7.142,502,8,TRUE
